"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Job Management","Job Count","Job count details is shown correctly","0","0","1","0","0"
"User Management System","User Details","User details should be correctly shown","0","0","1","0","0"
"Job Management","Master API","","0","0","1","0","0"
"","","","1","1","0","0","0"
"Job Management","Job Creation","FD should be able to create Job","1","0","0","0","0"
"Job Management","Master API","Master API should bring OEM details","0","0","1","0","0"
"Job Management","Job Count","","0","0","1","0","0"
"Job Management","Job Details","Job details is shown correctly for FD","0","0","1","0","0"
"User Management System","Authentication","Valid user should be able to login to the system","0","0","1","0","0"
